City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Namtsy,RU,62.7161,129.6658,22.3,93,21,8.34,few clouds
191,Saint-Pierre,RE,-21.3393,55.4781,73.08,78,75,4.61,broken clouds
192,Kittery,US,43.0881,-70.7362,50.92,91,100,12.66,overcast clouds
193,Kahului,US,20.8947,-156.47,82.42,66,20,20.71,few clouds
194,Kikwit,CD,-5.041,18.8162,70.92,96,94,3.53,moderate rain
195,Santiago,CL,-33.4569,-70.6483,72.28,33,0,11.5,haze
196,Sabha,LY,27.0377,14.4283,79.66,25,23,14.12,few clouds
197,Bethel,US,41.3712,-73.414,58.01,57,75,3.44,broken clouds
198,Rio Gallegos,AR,-51.6226,-69.2181,62.65,42,20,23.02,few clouds
199,Praia,CV,14.9215,-23.5087,81.14,41,0,21.85,clear sky
200,Helong,CN,42.5397,128.9972,53.4,59,73,5.06,broken clouds
201,Kaitangata,NZ,-46.2817,169.8464,53.51,98,69,2.48,broken clouds
202,Camacha,PT,33.0833,-16.3333,67.42,60,20,10.36,few clouds
203,Port Hardy,CA,50.6996,-127.4199,52.56,71,17,6.2,few clouds
204,Berezovyy,RU,51.6667,135.7,42.75,60,5,4.99,clear sky
205,Yavaros,MX,26.7,-109.5167,76.71,51,100,13.11,overcast clouds
206,Kapoeta,SS,4.7717,33.5903,78.87,61,100,7.09,overcast clouds
207,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,39,0,24.16,clear sky
208,Nortelandia,BR,-14.4547,-56.8028,81.1,75,88,4.38,overcast clouds
209,Brae,GB,60.3964,-1.353,43.43,78,97,10.98,overcast clouds
210,Kibala,TD,9.1104,18.3463,81.27,61,99,9.91,overcast clouds
211,Parrsboro,CA,45.4001,-64.332,41.25,76,100,8.01,moderate rain
212,Lata,PT,40.1629,-8.3327,62.92,96,36,3.4,light rain
213,Mizdah,LY,31.4451,12.9801,65.91,48,0,7.7,clear sky
214,Kashira,RU,54.8444,38.1669,47.61,92,100,9.44,heavy intensity rain
215,Korem,ET,12.5058,39.5228,57.09,87,72,3.13,moderate rain
216,Cherskiy,RU,68.75,161.3,6.22,97,100,3.27,overcast clouds
217,Pokhara,NP,28.2333,83.9833,64.44,69,100,2.39,overcast clouds
218,Lufkin,US,31.3382,-94.7291,82.31,41,0,0.0,clear sky
219,Kanniyakumari,IN,8.0833,77.5667,82.17,81,100,10.74,overcast clouds
220,Lasa,IT,46.6166,10.7002,51.69,84,4,3.36,clear sky
221,Touros,BR,-5.1989,-35.4608,80.91,77,94,9.78,overcast clouds
222,Vestmannaeyjar,IS,63.4427,-20.2734,42.53,69,100,25.84,light rain
223,Saint-Joseph,RE,-21.3667,55.6167,71.98,81,52,8.84,broken clouds
224,Ardakan,IR,32.31,54.0175,74.48,13,0,6.08,clear sky
225,Upernavik,GL,72.7868,-56.1549,31.66,76,100,1.48,light snow
226,Roald,NO,62.5833,6.1333,43.75,65,20,13.8,few clouds
227,Salalah,OM,17.0151,54.0924,86.09,84,75,5.75,broken clouds
228,Baruun-Urt,MN,46.6806,113.2792,42.35,30,100,20.83,overcast clouds
229,Maragogi,BR,-9.0122,-35.2225,78.91,84,100,7.47,light rain
230,Beringovskiy,RU,63.05,179.3167,15.67,85,24,6.24,few clouds
231,Port Elizabeth,ZA,-33.918,25.5701,68.29,89,20,6.91,few clouds
